time	name	error	cpu	duration
1524231335.08	DNALetterCount	null	0.0	-3.03223033236
1524231335.23	Entropy	null	16.7	-5.08496432304
1524231335.3	MaxMinProb	null	11.1	-4.03594571092
1524231343.45	FastQC	error	16.7	-2.1043658286
1524231343.63	DNALetterCount	null	14.3	-3.43497904065
1524231351.74	DNALetterCount	null	0.0	-3.02372060667
1524231351.89	Entropy	null	0.0	-5.08304006137
1524231351.97	MaxMinProb	null	50.0	-4.46913650506
1524231358.06	FastQC	error	47.1	-1.86124489855
1524231358.24	DNALetterCount	null	60.0	-3.42212239802
1524231358.35	Entropy	null	20.0	-5.14903298271
1524231360.42	DNALetterCount	null	0.0	-3.02291672052
1524231360.58	Entropy	null	0.0	-5.08754865265
1524231360.66	MaxMinProb	null	0.0	-4.49694655114
1524231368.75	FastQC	error	23.0	-2.10972843408
1524231368.9	DNALetterCount	null	0.0	-3.17440221095
1524231376.04	FastQC	error	20.3	1.15339370748
1524231379.25	DNALetterCount	null	0.0	-3.48511808627
1524231379.39	Entropy	null	20.0	-5.04738808492
1524231383.48	FastQC	error	22.8	-1.94542174868
1524231383.68	DNALetterCount	null	20.0	-3.10115997253
1524231385.8	DNALetterCount	null	16.7	-3.24719889259
1524231385.96	Entropy	null	0.0	-5.2321539132
1524231386.03	MaxMinProb	null	0.0	-4.4592387144
1524231388.13	FastQC	error	20.5	-1.90303048905
1524231388.33	DNALetterCount	null	0.0	-3.03025897324
1524231388.46	Entropy	null	0.0	-5.07870482218
1524231394.54	FastQC	error	23.2	-2.06617656403
1524231394.7	DNALetterCount	null	14.3	-3.23221546983
1524231394.84	Entropy	null	33.3	-5.12436841909
1524231401.91	FastQC	null	20.0	0.796348381768
1524231404.23	DNALetterCount	null	0.0	-3.28766658892
1524231405.39	FastQC	error	17.8	-2.06831139048
1524231405.57	DNALetterCount	null	28.6	-3.25421974701
1524231410.73	DNALetterCount	null	0.0	-2.93872873782
1524231410.91	Entropy	null	20.0	-5.23613397346
1524231410.98	MaxMinProb	null	25.0	-4.51650015623
1524231412.07	DNALetterCount	null	38.5	-3.02516333928
1524231412.24	Entropy	null	0.0	-5.20373015976
1524231412.3	MaxMinProb	null	0.0	-4.3882793576
1524231420.43	FastQC	error	26.2	-1.98995843708
1524231420.6	DNALetterCount	null	25.0	-3.5593301789
1524231425.71	FastQC	error	26.7	1.15144348717
1524231428.91	DNALetterCount	null	11.1	-2.81770446252
1524231429.1	Entropy	null	0.0	-5.05678167545
1524231432.19	FastQC	error	36.5	1.15849059695
1524231435.43	DNALetterCount	null	60.0	-3.2162754395
1524231435.55	Entropy	null	66.7	-5.00909962767
1524231435.62	MaxMinProb	null	50.0	-4.4350754267
1524231437.71	DNALetterCount	null	20.0	-2.80777704906
1524231437.89	Entropy	null	20.0	-5.12316702533
1524231437.96	MaxMinProb	null	11.1	-4.06046494529
1524231445.07	FastQC	null	0.0	-inf
