name	error	cpu
DNALetterCount	null	0.0
Entropy	null	16.7
MaxMinProb	null	11.1
FastQC	error	16.7
DNALetterCount	null	14.3
DNALetterCount	null	0.0
Entropy	null	0.0
MaxMinProb	null	50.0
FastQC	error	47.1
DNALetterCount	null	60.0
Entropy	null	20.0
DNALetterCount	null	0.0
Entropy	null	0.0
MaxMinProb	null	0.0
FastQC	error	23.0
DNALetterCount	null	0.0
FastQC	error	20.3
DNALetterCount	null	0.0
Entropy	null	20.0
FastQC	error	22.8
DNALetterCount	null	20.0
DNALetterCount	null	16.7
Entropy	null	0.0
MaxMinProb	null	0.0
FastQC	error	20.5
DNALetterCount	null	0.0
Entropy	null	0.0
FastQC	error	23.2
DNALetterCount	null	14.3
Entropy	null	33.3
FastQC	null	20.0
DNALetterCount	null	0.0
FastQC	error	17.8
DNALetterCount	null	28.6
DNALetterCount	null	0.0
Entropy	null	20.0
MaxMinProb	null	25.0
DNALetterCount	null	38.5
Entropy	null	0.0
MaxMinProb	null	0.0
FastQC	error	26.2
DNALetterCount	null	25.0
FastQC	error	26.7
DNALetterCount	null	11.1
Entropy	null	0.0
FastQC	error	36.5
DNALetterCount	null	60.0
Entropy	null	66.7
MaxMinProb	null	50.0
DNALetterCount	null	20.0
Entropy	null	20.0
MaxMinProb	null	11.1
FastQC	null	0
