time	name	error	cpu	duration
1524345248.88	DNALetterCount	null	0.0	0.0357999801636
1524345249.01	Entropy	null	0.0	0.00604820251465
1524345249.08	MaxMinProb	null	20.0	0.0115571022034
1524345255.17	FastQC	error	29.2	0.140676021576
1524345255.35	DNALetterCount	null	0.0	0.0290169715881
1524345257.46	FastQC	error	30.8	3.18325400352
1524345260.7	DNALetterCount	null	62.5	0.0429019927979
1524345260.84	Entropy	null	33.3	0.00663805007935
1524345263.92	FastQC	error	33.6	0.133978128433
1524345264.11	DNALetterCount	null	20.0	0.0332839488983
1524345264.22	Entropy	null	0.0	0.00566291809082
1524345265.29	FastQC	error	29.2	0.12751698494
1524345265.47	DNALetterCount	null	25.0	0.0320460796356
1524345265.58	Entropy	null	0.0	0.00565886497498
1524345266.66	DNALetterCount	null	40.0	0.0407531261444
1524345266.8	Entropy	null	33.3	0.00605297088623
1524345266.88	MaxMinProb	null	20.0	0.0111789703369
1524345273.98	DNALetterCount	null	33.3	0.0465440750122
1524345274.14	Entropy	null	50.0	0.00654792785645
1524345274.21	MaxMinProb	null	0.0	0.0114929676056
1524345277.3	FastQC	error	24.2	0.143471002579
1524345277.5	DNALetterCount	null	20.0	0.0299570560455
1524345279.62	FastQC	error	36.7	0.139659881592
1524345279.81	DNALetterCount	null	33.3	0.0329039096832
1524345279.93	Entropy	null	0.0	0.00603485107422
1524345285.0	FastQC	null	22.2	2.20189094543
1524345287.28	DNALetterCount	null	40.0	0.0425009727478
1524345289.41	FastQC	error	28.2	3.17922902107
1524345292.64	DNALetterCount	null	25.0	0.0426831245422
1524345292.76	Entropy	null	20.0	0.0059380531311
1524345292.83	MaxMinProb	null	0.0	0.0113878250122
1524345293.92	DNALetterCount	null	0.0	0.0299789905548
1524345294.04	Entropy	null	0.0	0.00578212738037
1524345294.11	MaxMinProb	null	33.3	0.0121448040009
1524345295.2	DNALetterCount	null	20.0	0.0374898910522
1524345295.32	Entropy	null	0.0	0.00614404678345
1524345295.39	MaxMinProb	null	0.0	0.0111339092255
1524345302.48	DNALetterCount	null	28.6	0.0491580963135
1524345302.63	Entropy	null	25.0	0.00654911994934
1524345302.7	MaxMinProb	null	25.0	0.0114181041718
1524345306.8	DNALetterCount	null	0.0	0.0305988788605
1524345306.93	Entropy	null	20.0	0.00569987297058
1524345307.0	MaxMinProb	null	0.0	0.0120451450348
1524345315.1	FastQC	error	29.3	3.15595078468
1524345318.29	DNALetterCount	null	20.0	0.0354089736938
1524345318.42	Entropy	null	33.3	0.00662899017334
1524345323.49	FastQC	error	28.4	3.18431687355
1524345326.72	DNALetterCount	null	57.1	0.0297679901123
1524345326.83	Entropy	null	0.0	0.00575494766235
1524345332.91	FastQC	null	44.4	2.19365215302
1524345335.21	DNALetterCount	null	33.3	0.0406980514526
1524345343.35	FastQC	error	33.5	3.20045900345
1524345346.59	DNALetterCount	null	0.0	0.0349791049957
1524345346.7	Entropy	null	33.3	0.00645995140076
1524345346.79	MaxMinProb	null	33.3	0.0121650695801
1524345354.89	DNALetterCount	null	16.7	0.0293920040131
1524345355.01	Entropy	null	0.0	0.00598001480103
1524345355.08	MaxMinProb	null	16.7	0.0128750801086
1524345363.18	FastQC	error	22.5	0.127342939377
1524345363.33	DNALetterCount	null	20.0	0.029708147049
1524345364.44	DNALetterCount	null	33.3	0.0485038757324
1524345364.6	Entropy	null	0.0	0.00594091415405
1524345364.67	MaxMinProb	null	0.0	0.0114860534668
1524345366.77	DNALetterCount	null	42.9	0.0363659858704
1524345366.9	Entropy	null	20.0	0.00689506530762
1524345366.98	MaxMinProb	null	25.0	0.0110700130463
