time	tool	cpuload
1524345248.88	DNALetterCount	0.0
1524345249.01	Entropy	0.0
1524345249.08	MaxMinProb	20.0
1524345255.17	FastQC	29.2
1524345255.35	DNALetterCount	0.0
1524345257.46	FastQC	30.8
1524345260.7	DNALetterCount	62.5
1524345260.84	Entropy	33.3
1524345263.92	FastQC	33.6
1524345264.11	DNALetterCount	20.0
1524345264.22	Entropy	0.0
1524345265.29	FastQC	29.2
1524345265.47	DNALetterCount	25.0
1524345265.58	Entropy	0.0
1524345266.66	DNALetterCount	40.0
1524345266.8	Entropy	33.3
1524345266.88	MaxMinProb	20.0
1524345273.98	DNALetterCount	33.3
1524345274.14	Entropy	50.0
1524345274.21	MaxMinProb	0.0
1524345277.3	FastQC	24.2
1524345277.5	DNALetterCount	20.0
1524345279.62	FastQC	36.7
1524345279.81	DNALetterCount	33.3
1524345279.93	Entropy	0.0
1524345285.0	FastQC	22.2
1524345287.28	DNALetterCount	40.0
1524345289.41	FastQC	28.2
1524345292.64	DNALetterCount	25.0
1524345292.76	Entropy	20.0
1524345292.83	MaxMinProb	0.0
1524345293.92	DNALetterCount	0.0
1524345294.04	Entropy	0.0
1524345294.11	MaxMinProb	33.3
1524345295.2	DNALetterCount	20.0
1524345295.32	Entropy	0.0
1524345295.39	MaxMinProb	0.0
1524345302.48	DNALetterCount	28.6
1524345302.63	Entropy	25.0
1524345302.7	MaxMinProb	25.0
1524345306.8	DNALetterCount	0.0
1524345306.93	Entropy	20.0
1524345307.0	MaxMinProb	0.0
1524345315.1	FastQC	29.3
1524345318.29	DNALetterCount	20.0
1524345318.42	Entropy	33.3
1524345323.49	FastQC	28.4
1524345326.72	DNALetterCount	57.1
1524345326.83	Entropy	0.0
1524345332.91	FastQC	44.4
1524345335.21	DNALetterCount	33.3
1524345343.35	FastQC	33.5
1524345346.59	DNALetterCount	0.0
1524345346.7	Entropy	33.3
1524345346.79	MaxMinProb	33.3
1524345354.89	DNALetterCount	16.7
1524345355.01	Entropy	0.0
1524345355.08	MaxMinProb	16.7
1524345363.18	FastQC	22.5
1524345363.33	DNALetterCount	20.0
1524345364.44	DNALetterCount	33.3
1524345364.6	Entropy	0.0
1524345364.67	MaxMinProb	0.0
1524345366.77	DNALetterCount	42.9
1524345366.9	Entropy	20.0
1524345366.98	MaxMinProb	25.0
