name	error	cpu
DNALetterCount	null	0.0
Entropy	null	0.0
MaxMinProb	null	20.0
FastQC	error	29.2
DNALetterCount	null	0.0
FastQC	error	30.8
DNALetterCount	null	62.5
Entropy	null	33.3
FastQC	error	33.6
DNALetterCount	null	20.0
Entropy	null	0.0
FastQC	error	29.2
DNALetterCount	null	25.0
Entropy	null	0.0
DNALetterCount	null	40.0
Entropy	null	33.3
MaxMinProb	null	20.0
DNALetterCount	null	33.3
Entropy	null	50.0
MaxMinProb	null	0.0
FastQC	error	24.2
DNALetterCount	null	20.0
FastQC	error	36.7
DNALetterCount	null	33.3
Entropy	null	0.0
FastQC	null	22.2
DNALetterCount	null	40.0
FastQC	error	28.2
DNALetterCount	null	25.0
Entropy	null	20.0
MaxMinProb	null	0.0
DNALetterCount	null	0.0
Entropy	null	0.0
MaxMinProb	null	33.3
DNALetterCount	null	20.0
Entropy	null	0.0
MaxMinProb	null	0.0
DNALetterCount	null	28.6
Entropy	null	25.0
MaxMinProb	null	25.0
DNALetterCount	null	0.0
Entropy	null	20.0
MaxMinProb	null	0.0
FastQC	error	29.3
DNALetterCount	null	20.0
Entropy	null	33.3
FastQC	error	28.4
DNALetterCount	null	57.1
Entropy	null	0.0
FastQC	null	44.4
DNALetterCount	null	33.3
FastQC	error	33.5
DNALetterCount	null	0.0
Entropy	null	33.3
MaxMinProb	null	33.3
DNALetterCount	null	16.7
Entropy	null	0.0
MaxMinProb	null	16.7
FastQC	error	22.5
DNALetterCount	null	20.0
DNALetterCount	null	33.3
Entropy	null	0.0
MaxMinProb	null	0.0
DNALetterCount	null	42.9
Entropy	null	20.0
MaxMinProb	null	25.0
